Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,1998,97.92821,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,1999,97.03807,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2000,95.48221,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2001,97.04227,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2002,94.99020,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2003,97.49053,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2004,94.54470,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2005,96.48063,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2006,95.96256,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2007,96.59008,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2008,96.50285,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2009,94.67510,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2010,94.23092,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2011,91.90893,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2012,93.64137,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2013,97.19908,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2014,97.69702,PCNT,,A,UIS: EDUNF_GER_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L2,_T,SCH_AGE_GROUP,_T,_T,2015,99.61585,PCNT,,A,UIS: EDUNF_GER_L2,0,A
