Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2000,19446,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,17373,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,10716,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,9731,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,5374,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,8660,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,9679,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,4629,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,16787,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,16243,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,13276,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,4307,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,4834,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,9663,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,11800,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,13021,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,14888,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,90027,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,94592,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,86400,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,84274,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,84307,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,87628,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2012,85272,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,83281,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,81617,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,62131,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,37418,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,2648,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,3233,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1996,20815,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1997,18702,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1998,15973,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1999,18933,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2000,18909,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,14330,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2002,14360,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2003,11872,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2004,12907,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,14800,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,22838,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,25193,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,28213,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,29807,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,23796,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,13367,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2012,8731,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,582,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,539,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,6885,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,17827,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,25925,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,22381,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2002,16945,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2003,15689,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2004,7063,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,6950,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,7110,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,8306,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,9458,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,9405,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2012,8840,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,417,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,61,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,323,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,668,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,5832,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,4886,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,6452,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2002,2012,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2004,151,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,35451,PS,,A,UIS: EDUNF_OFST_L2,0,E
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,210,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,351,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,778,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,342,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,2651,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1998,926,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,1999,1251,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2000,1572,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,1178,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2002,1158,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2003,992,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2004,760,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,625,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,321,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,850,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,1986,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,2533,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,2313,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,936,PS,,A,UIS: EDUNF_OFST_L2,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_OFST_L2,_T,SCH_AGE_GROUP,_T,_T,2012,109,PS,,A,UIS: EDUNF_OFST_L2,0,A
